 	Area	Perim.	BX	BY	Width	Height	Circ.	AR	Round	Solidity
1	18959.181	678.344	1007.212	12.019	180.288	211.538	0.518	2.268	0.441	0.839
2	7332.886	354.178	1394.231	127.404	120.192	96.154	0.735	1.757	0.569	0.905
3	20946.977	724.671	824.519	158.654	259.615	125.000	0.501	2.429	0.412	0.861
4	699.196	96.837	1206.731	213.942	28.846	33.654	0.937	1.093	0.915	0.903
5	439.164	77.848	384.615	216.346	24.038	24.038	0.911	1.202	0.832	0.905
6	7171.089	356.753	504.808	230.769	122.596	105.769	0.708	2.132	0.469	0.899
7	12510.401	475.879	1649.038	235.577	132.212	144.231	0.694	1.115	0.897	0.900
8	16283.746	638.615	274.038	250.000	187.500	149.038	0.502	1.558	0.642	0.799
9	4385.864	250.542	670.673	252.404	81.731	74.519	0.878	1.120	0.893	0.942
10	2502.080	187.700	1151.442	329.327	62.500	52.885	0.892	1.194	0.838	0.944
11	6922.615	359.569	894.231	334.135	103.365	122.596	0.673	1.987	0.503	0.880
12	15139.608	566.500	286.058	408.654	189.904	134.615	0.593	1.855	0.539	0.854
13	5853.597	330.381	1889.423	463.942	108.173	91.346	0.674	1.815	0.551	0.869
14	1745.100	152.296	2747.596	576.923	48.077	45.673	0.945	1.078	0.928	0.945
15	10216.346	445.041	192.308	608.173	127.404	146.635	0.648	2.244	0.446	0.892
16	3311.067	215.721	449.519	649.038	67.308	67.308	0.894	1.006	0.994	0.939
17	756.980	99.653	2043.269	716.346	31.250	31.250	0.958	1.048	0.954	0.919
18	2860.346	201.298	1048.077	810.096	62.500	60.096	0.887	1.043	0.959	0.945
19	6662.583	359.811	1341.346	826.923	115.385	105.769	0.647	2.179	0.459	0.871
20	3253.282	217.713	831.731	860.577	64.904	67.308	0.863	1.028	0.972	0.941
21	1144.138	126.267	1151.442	877.404	38.462	40.865	0.902	1.113	0.898	0.915
22	271.588	61.434	2978.365	939.904	19.231	19.231	0.904	1.265	0.790	0.887
23	624.075	91.446	2557.692	1004.808	28.846	28.846	0.938	1.038	0.963	0.904
24	7084.412	322.416	2019.231	1009.615	98.558	96.154	0.856	1.029	0.972	0.957
25	8812.176	428.285	423.077	1064.904	153.846	81.731	0.604	2.164	0.462	0.876
26	2883.460	201.540	1728.365	1117.788	62.500	57.692	0.892	1.119	0.893	0.940
27	4039.155	235.535	105.769	1153.846	72.115	72.115	0.915	1.022	0.979	0.955
28	3825.351	232.136	379.808	1180.288	69.712	72.115	0.892	1.023	0.978	0.946
29	6206.084	331.206	536.058	1230.769	112.981	88.942	0.711	1.862	0.537	0.896
30	80.899	36.812	651.442	1233.173	9.615	14.423	0.750	1.743	0.574	0.778
31	8396.126	387.832	302.885	1262.019	117.788	120.192	0.701	1.875	0.533	0.892
32	3756.010	245.976	2721.154	1341.346	84.135	64.904	0.780	1.552	0.644	0.937
33	18155.973	672.611	451.923	1391.827	206.731	156.250	0.504	1.541	0.649	0.830
34	4541.882	251.950	721.154	1391.827	76.923	79.327	0.899	1.122	0.891	0.945
35	3068.371	222.762	216.346	1468.750	57.692	74.519	0.777	1.295	0.772	0.903
36	6662.583	367.676	1430.288	1512.019	69.712	129.808	0.619	2.243	0.446	0.855
37	4154.724	267.540	252.404	1538.462	88.942	72.115	0.729	1.614	0.620	0.893
38	5373.983	280.555	26.442	1543.269	88.942	86.538	0.858	1.174	0.852	0.943
39	4888.591	275.405	1117.788	1552.885	100.962	62.500	0.810	1.661	0.602	0.948
40	3663.554	227.911	2218.750	1610.577	72.115	69.712	0.886	1.060	0.943	0.943
41	3039.479	205.523	1024.038	1617.788	62.500	62.500	0.904	1.013	0.987	0.948
42	4339.636	250.542	572.115	1646.635	76.923	76.923	0.869	1.059	0.944	0.941
43	456.500	81.248	456.731	1694.712	21.635	26.442	0.869	1.145	0.873	0.913
